Date,Canada,Japan,France,Germany,Italy,Switzerland,UK,US,World
20140101,-0.049468259,-0.044617424,-0.055686921,-0.057242271,-0.000756854,-0.025637779,-0.04974741,-0.040964584,-0.0436944
20140201,0.036983888,-0.01164119,0.078620827,0.06087619,0.065287043,0.058889254,0.059742992,0.038459523,0.042136452
20140301,0.006187876,-0.026350274,-0.008797054,-0.02343145,0.058073134,-0.010411161,-0.042550598,-0.000639992,-0.006910827
20140401,0.021322867,-0.031920947,0.019569234,-0.001862157,0.008441862,-5.01637E-05,0.035556855,-0.001144011,0.002284972
20140501,0.000679372,0.033555622,-0.013409603,-0.005017619,-0.027696794,8.86651E-05,-0.002138735,0.015499226,0.010259594
20140601,0.050848598,0.045509311,-0.024262215,-0.013058755,-0.015451265,-0.011557732,-0.002210246,0.013807767,0.010459459
20140701,-0.008359788,-0.000253779,-0.066495959,-0.07040866,-0.059691495,-0.045787154,-0.019637044,-0.021312936,-0.022669582
20140801,0.015230406,-0.027942654,0.005099733,-0.014951713,-0.028509862,0.015747266,-0.009412762,0.031864482,0.014027964
20140901,-0.072640504,-0.019247682,-0.042655297,-0.04802045,-0.023187359,-0.032465409,-0.059263777,-0.023128645,-0.034752985
20141001,-0.036774923,-0.019100577,-0.050568147,-0.02623931,-0.064308407,-0.013419262,-0.03115904,0.016925906,-0.00029819
20141101,-0.007059635,-0.003138444,0.028170722,0.057670599,-0.006327392,0.027117425,-0.002175215,0.018237305,0.012386012
20141201,-0.02788592,-0.021317326,-0.056950913,-0.050190675,-0.087303306,-0.052722497,-0.033578711,-0.010773681,-0.023145761
20150101,-0.091358189,0.017315744,0.000908707,0.009816644,-0.005859683,0.000684411,-0.01711266,-0.035223294,-0.024796003
20150201,0.052266694,0.054382467,0.059359052,0.054316785,0.077742535,0.039629657,0.052632111,0.049885804,0.05082438
20150301,-0.04036073,0.002801832,-0.031349342,-0.00294542,-0.020338197,-0.018317805,-0.069899432,-0.022033487,-0.024076985
20150401,0.061030097,0.029146215,0.041074734,-0.01161798,0.034395865,0.023199835,0.058945053,0.002081267,0.015591049
